title,is_finish,score,coins
漫研部,1,8.7,699
漫研部~妄想突变~,1,8.1,475
幕末Rock,1,8.7,324
网球并不可笑嘛 第一季,1,9.4,1046
网球并不可笑嘛 第二季,1,9.2,1394
网球并不可笑嘛 第三季,1,9.2,1339
月刊少女野崎君,1,9.8,235865
青春之旅,1,9.5,58956
黑执事,1,9.8,74713
荷包蛋的蛋黄什么时候戳破才好？,1,9.2,2791
每度！浦安铁筋家族,1,9.1,9348
KERORO军曹,1,9.8,13515
迷你偶像,1,9.5,2005
复仇者：世上最强英雄组合,1,9.6,5416
犬神同学和猫山同学,1,9.7,12276
剑灵,1,8.0,705
我们大家的河合庄,1,9.7,22165
宝石宠物 Tinkle☆（第二季）,1,9.7,3149
宝石宠物 Sunshine（第三季）,1,7.3,212
罗德岛战记,1,9.6,1978
罗德岛战记-英雄骑士传-,1,9.3,2171
金色琴弦～primo passo～,1,9.7,2089
金色琴弦～Secondo Passo～,1,9.2,447
金色琴弦 Blue♪Sky,1,7.5,387
众神的恶作剧,1,9.0,5669
一周的朋友。,1,9.7,55233
NO GAME NO LIFE 游戏人生,1,9.8,410547
爱丝卡与罗吉的工作室 黄昏之空的炼金术士,1,9.1,2704
请问您今天要来点兔子吗？,1,9.7,89979
乒乓,1,9.8,28770
龙娘七七七埋藏的宝藏,1,9.0,17539
目隱都市的演繹者（僅限港澳台地區）,1,9.1,824
头文字D First Stage,1,9.9,9772
头文字D Second Stage,1,9.8,1857
头文字D Third Stage,1,9.6,621
头文字D Fourth Stage,1,9.8,2631
头文字D Fifth Stage,1,9.4,949
头文字D Final Stage,1,9.7,693
绝灭危愚少女,1,9.1,490
机器人少女Z,1,9.3,650
未来卡 搭档对战,1,9.5,1869
信长之枪,1,9.1,480
献给某飞行员的恋歌,1,8.8,753
乌瑟的穷困生活,1,9.1,495
姐姐来了,1,9.5,19002
银之匙 Silver Spoon 第一季,1,8.4,15017
银之匙 Silver Spoon 第二季,1,8.5,12033
GO!GO!575,1,9.4,1079
世界征服 谋略之星,1,9.0,8665
稻荷恋之歌,1,9.1,22369
甘城光辉游乐园,1,9.7,259835
电器街的漫画店,1,9.5,21249
记录的地平线,1,9.7,62488
记录的地平线 第二季,1,9.5,93274
魔弹之王与战姬,1,9.0,37977
天体的秩序,1,9.4,38160
银仙,1,9.7,54089
我家浴缸的二三事,1,9.6,26107
世嘉硬件女孩,1,9.3,1564
大图书馆的牧羊人,1,9.3,36229
我，要成为双马尾。,1,9.2,50814
纳米核心 精简版,1,9.3,84814
功夫兔与菜包狗,1,9.8,75493
猫和老鼠 旧版,1,9.9,416556
不可能恋爱,1,9.3,3594
