season_id,media_id,title,is_finish,score,coins,danmakus,favorite,favorites,likes,reply,share,views
7,7,漫研部,1,8.7,773,5291,96,66849,801,923,455,1114990
8,8,漫研部~妄想突变~,1,8.1,521,2910,27,27757,560,781,131,638017
9,9,幕末Rock,1,8.7,2727,10588,67,43208,636,639,376,303023
17,17,网球并不可笑嘛 第一季,1,9.4,1147,7672,142,84501,1754,1996,1544,1716588
18,18,网球并不可笑嘛 第二季,1,9.2,1551,5782,140,30990,1764,1497,268,1731836
19,19,网球并不可笑嘛 第三季,1,9.2,1440,5408,73,23632,1144,1220,182,1466583
53,53,月刊少女野崎君,1,9.8,298698,1303883,19841,3847063,235858,49129,100394,47023126
59,59,青春之旅,1,9.6,82700,816032,17306,1615526,90754,16564,24703,19397303
75,67712,黑执事,1,9.8,99979,2277409,22174,1903447,143073,43235,24173,34703155
84,84,荷包蛋的蛋黄什么时候戳破才好？,1,9.2,3048,226355,186,91655,1717,6956,8733,3509674
92,92,每度！浦安铁筋家族,1,9.1,9549,41012,186,49165,3520,11804,2651,7304608
103,103,KERORO军曹,1,9.8,16473,299338,3118,209244,12663,7329,6253,12426598
106,106,迷你偶像,1,9.5,2597,15774,137,32197,2429,1793,719,3876391
110,110,犬神同学和猫山同学,1,9.7,13651,34646,630,235260,9589,6622,4260,5061791
111,111,剑灵,1,8.0,753,115735,309,103228,94,5244,1166,3025087
113,113,我们大家的河合庄,1,9.7,33184,125950,2735,584126,30152,4906,10693,4618984
123,123,宝石宠物 Tinkle☆（第二季）,1,9.8,4178,50996,2500,107661,5570,3267,1666,3693775
124,124,宝石宠物 Sunshine（第三季）,1,7.2,259,6888,263,16753,544,660,146,583944
125,125,宝石宠物 Kira☆Deko!（第四季）,1,8.3,281,3700,263,17934,824,469,229,655043
128,117712,展开骑士,1,7.6,9165,1588,447,6413,2259,8047,70,448556
162,162,罗德岛战记,1,9.6,3094,27965,2298,101771,6135,1457,1892,1425882
163,163,罗德岛战记-英雄骑士传-,1,9.4,3157,13207,2937,135182,15180,7346,2833,2191131
167,89192,金色琴弦～primo passo～,1,9.7,3194,62814,1657,117969,7165,1986,803,2007717
168,168,金色琴弦～Secondo Passo～,1,9.2,596,3711,534,45858,1366,426,104,396282
169,169,金色琴弦 Blue♪Sky,1,7.0,954,14166,799,48542,1935,2312,186,906767
170,170,众神的恶作剧,1,9.0,6440,351838,1446,302882,9272,9056,3001,7703824
173,173,一周的朋友。,1,9.7,77635,479156,9051,1217587,75257,11747,17703,8257830
184,184,NO GAME NO LIFE 游戏人生,1,9.8,527939,3242200,37341,4558175,336600,103723,137090,84330399
190,190,爱丝卡与罗吉的工作室 黄昏之空的炼金术士,1,9.2,3063,65610,318,148949,2720,3602,991,2107429
191,191,请问您今天要来点兔子吗？,1,9.7,111849,1542822,6952,1986671,86747,23719,43070,23452417
192,28221545,乒乓,1,9.8,51327,114029,10774,478324,76761,12447,32323,9101684
193,193,龙娘七七七埋藏的宝藏,1,9.0,23043,114110,4001,877605,33730,3947,5695,5909918
197,197,目隱都市的演繹者（僅限港澳台地區）,1,9.1,3925,8181,232,131069,870,3453,386,178212
207,207,头文字D First Stage,1,9.9,25034,84070,9187,612702,83114,5727,21356,10951842
208,208,头文字D Second Stage,1,9.8,6199,27669,1105,166983,22499,1254,2651,3414001
209,209,头文字D Third Stage,1,9.6,2205,18771,443,109607,4858,525,984,619343
210,28234399,头文字D Fourth Stage,1,9.8,9006,50765,1464,63384,28503,1714,686,4571804
211,211,头文字D Fifth Stage,1,9.4,3501,18193,666,136233,11231,742,1588,2103937
212,212,头文字D Final Stage,1,9.7,2403,6950,589,106613,5711,727,1321,1007087
214,214,绝灭危愚少女,1,9.1,524,7786,25,44903,523,1628,133,375620
218,218,机器人少女Z,1,9.3,923,7651,522,39001,2103,541,1053,441903
222,222,未来卡 搭档对战,1,9.4,2146,37676,321,21562,3691,1864,729,2761441
223,223,信长之枪,1,8.8,533,45602,57,24546,418,1887,206,1269247
